"geojson","name","group_name","coverage","status","location","values"
"{""type"":""Polygon"",""coordinates"":[[[-117.02872,32.65845],[-117.01762,32.65734],[-117.00706,32.65199],[-117.00883,32.64521],[-117.03026,32.63869],[-117.0291,32.63523],[-117.03689,32.6364],[-117.04267,32.64031],[-117.05092,32.64611],[-117.0315,32.65069],[-117.02872,32.65845]]]}","527-3-1","SD60XC004","In Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.04762,32.68505],[-117.05372,32.68485],[-117.05764,32.67898],[-117.05417,32.6722],[-117.04746,32.66959],[-117.04253,32.6722],[-117.04762,32.68505]]]}","525-3-2","SD60XC129","in Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.0312,32.67729],[-117.03628,32.67155],[-117.03027,32.66784],[-117.01863,32.6754],[-117.01994,32.68212],[-117.0312,32.67729]]]}","527-4-2","None","in Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.14526,32.69488],[-117.13808,32.68759],[-117.12436,32.69158],[-117.13177,32.69692],[-117.13517,32.69868],[-117.14183,32.69896],[-117.14658,32.69521],[-117.14658,32.69521],[-117.14526,32.69488]]]}","525-1-2","None","In Car","No Solution","Urban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.10369,32.69173],[-117.09744,32.68737],[-117.09844,32.68241],[-117.1053,32.67992],[-117.10916,32.68272],[-117.10978,32.68677],[-117.11401,32.69859],[-117.11085,32.6992],[-117.10485,32.69316],[-117.10369,32.69173]]]}","525-2-2","SD64XC004","in Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.01381,32.76802],[-117.01662,32.76459],[-117.01402,32.75905],[-117.0098,32.76112],[-117.00627,32.7638],[-117.00939,32.76591],[-117.00944,32.76885],[-117.01516,32.76978],[-117.01381,32.76802]]]}","517-4-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.99267,32.7666],[-116.9959,32.75907],[-116.9887,32.75669],[-116.98399,32.75148],[-116.97459,32.74879],[-116.96647,32.74673],[-116.96292,32.75375],[-116.96652,32.7587],[-116.96426,32.76293],[-116.97025,32.76263],[-116.97532,32.76324],[-116.97446,32.76701],[-116.97617,32.76789],[-116.9832,32.76397],[-116.99267,32.7666]]]}","524-3-1","SD34XC909,010 and SD34XC865","In Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.22085,32.84816],[-117.21877,32.84786],[-117.21478,32.83955],[-117.219,32.84022],[-117.22133,32.84579],[-117.2275,32.84237],[-117.23386,32.84349],[-117.23022,32.85217],[-117.22276,32.8542],[-117.22073,32.84816],[-117.22073,32.84816],[-117.22085,32.84816]]]}","512-2-1","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.26217,32.94589],[-117.25728,32.94889],[-117.24329,32.93767],[-117.24426,32.93199],[-117.26289,32.94248],[-117.26168,32.94651],[-117.26217,32.94589]]]}","511-1-2","None","In Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.09794,33.00259],[-117.08973,33.00125],[-117.08605,32.99382],[-117.08726,32.98319],[-117.09693,32.98153],[-117.09794,33.00259]]]}","508-4-2","None","in Car","No Solution","Suburban","None"
